Filename,Width,Height
captured_image_2024-05-22 05-18-06.jpg,95,70
captured_image_2024-05-22 05-20-06.jpg,84,83
captured_image_2024-05-22 05-21-07.jpg,100,73
captured_image_2024-05-22 05-22-07.jpg,96,78
captured_image_2024-05-22 05-23-07.jpg,91,80
captured_image_2024-05-22 05-24-07.jpg,96,75
captured_image_2024-05-22 05-25-07.jpg,87,79
captured_image_2024-05-22 05-26-07.jpg,100,75
captured_image_2024-05-22 05-27-07.jpg,83,79
captured_image_2024-05-22 05-28-07.jpg,101,80
captured_image_2024-05-22 05-29-07.jpg,74,72
captured_image_2024-05-22 05-30-07.jpg,82,67
captured_image_2024-05-22 05-31-07.jpg,76,69
captured_image_2024-05-22 05-33-07.jpg,60,82
captured_image_2024-05-22 05-34-07.jpg,86,77
captured_image_2024-05-22 05-35-07.jpg,102,82
captured_image_2024-05-22 05-36-07.jpg,96,81
captured_image_2024-05-22 05-37-07.jpg,95,73
captured_image_2024-05-22 05-38-07.jpg,96,73
captured_image_2024-05-22 05-39-07.jpg,99,85
captured_image_2024-05-22 05-40-07.jpg,94,82
captured_image_2024-05-22 05-41-07.jpg,83,79
captured_image_2024-05-22 05-42-07.jpg,74,73
captured_image_2024-05-22 05-43-07.jpg,87,79
captured_image_2024-05-22 14-27-20.jpg,116,174
captured_image_2024-05-22 14-28-20.jpg,122,169
captured_image_2024-05-22 14-29-20.jpg,126,167
captured_image_2024-05-22 14-30-20.jpg,125,178
captured_image_2024-05-22 14-31-20.jpg,117,165
captured_image_2024-05-22 14-32-20.jpg,119,170
captured_image_2024-05-22 14-35-20.jpg,125,177
captured_image_2024-05-22 14-37-20.jpg,126,165
captured_image_2024-05-22 14-38-20.jpg,121,173
captured_image_2024-05-22 14-38-20.jpg,0,0
captured_image_2024-05-22 14-39-20.jpg,135,177
captured_image_2024-05-22 14-40-20.jpg,140,174
captured_image_2024-05-22 14-41-20.jpg,132,181
captured_image_2024-05-22 14-42-20.jpg,149,192
captured_image_2024-05-22 14-43-20.jpg,151,182
captured_image_2024-05-22 14-45-20.jpg,139,188
captured_image_2024-05-22 14-46-20.jpg,136,196
captured_image_2024-05-22 14-47-20.jpg,114,179
captured_image_2024-05-22 14-48-20.jpg,98,185
captured_image_2024-05-22 14-49-20.jpg,107,181
captured_image_2024-05-22 14-50-20.jpg,129,186
captured_image_2024-05-23 00-04-36.jpg,80,239
captured_image_2024-05-23 00-05-36.jpg,83,240
captured_image_2024-05-23 00-06-36.jpg,128,244
captured_image_2024-05-23 00-07-36.jpg,143,246
captured_image_2024-05-23 00-08-36.jpg,136,236
captured_image_2024-05-23 00-09-36.jpg,130,247
captured_image_2024-05-23 00-11-36.jpg,142,230
captured_image_2024-05-23 00-12-36.jpg,144,239
captured_image_2024-05-23 00-13-36.jpg,131,241
captured_image_2024-05-23 00-14-37.jpg,134,231
captured_image_2024-05-23 00-15-37.jpg,131,232
captured_image_2024-05-23 00-16-37.jpg,131,237
captured_image_2024-05-23 00-18-37.jpg,140,224
captured_image_2024-05-23 00-19-37.jpg,138,227
captured_image_2024-05-23 00-20-37.jpg,135,229
captured_image_2024-05-23 00-21-37.jpg,127,230
captured_image_2024-05-23 09-25-51.jpg,115,245
captured_image_2024-05-23 09-26-51.jpg,119,250
captured_image_2024-05-23 09-27-51.jpg,125,236
captured_image_2024-05-23 09-29-51.jpg,115,236
captured_image_2024-05-23 09-31-51.jpg,129,241
captured_image_2024-05-23 09-32-51.jpg,134,239
captured_image_2024-05-23 09-33-51.jpg,140,247
captured_image_2024-05-23 09-34-51.jpg,107,234
captured_image_2024-05-23 09-35-51.jpg,127,240
captured_image_2024-05-23 09-35-51.jpg,3,5
captured_image_2024-05-23 09-36-51.jpg,127,246
captured_image_2024-05-23 09-37-51.jpg,113,242
captured_image_2024-05-23 09-38-52.jpg,110,262
captured_image_2024-05-23 09-39-52.jpg,131,242
captured_image_2024-05-23 09-40-52.jpg,108,243
